Table 1
Category,Proxy,Unit,£ Value,Evidence,Evidence Match,Research Batch,
National TOMs Framework,Ref 5.1 – Arts & culture initiatives in care Glo facilities (improve user experience),invested ncl. staff me),,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,Ref 5.2 – Investment in social Glo prescribing schemes as treatment,invested ncl. staff me),,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,Ref 5.3 – Participation in innovative healthcare approaches (pilots/test             Glo beds) (no.),tal no.,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,6,
National TOMs Framework,Ref 5.4 – Other measures (£): additional Glo initiatives and £ to be invested,,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,6,
National TOMs Framework,Ref 5.5 – Other measures (hrs): expert Glo hours committed,. expert aff hours,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,6,
National TOMs Framework,Ref 5.6 – Other measures (hrs): Glo voluntary hours committed,. staff lunteering urs,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,6,
National TOMs Framework,Rutland NT10 (2024)                            Glo,. weeks,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,6,
National TOMs Framework,Rutland NT11 (2024)                            Glo,. hrs (total ssion ration)*no. tendees,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,6,
National TOMs Framework,Rutland NT1 (2024)                             Glo,. people FTE,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,6,
National TOMs Framework,Rutland NT12 (2024)                            Glo,. weeks,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,6,
National TOMs Framework,Rutland NT17 (2024)                            Glo,. staff lunteering urs,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,6,
National TOMs Framework,Rutland NT19 (2024)                            Glo,,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,6,
National TOMs Framework,Rutland NT1a (2024)                         Global,eople FTE,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,6,
National TOMs Framework,Rutland NT1b (2024)                         Global,eople FTE,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,6,
National TOMs Framework,Rutland NT1c (2024)                         Global,eople FTE,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,6,
National TOMs Framework,Rutland NT20 (2024)                         Global,mployees ded s,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,6,
National TOMs Framework,Rutland NT29 (2024)                         Global,taff teering,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,6,
National TOMs Framework,Rutland NT3d (2024)                         Global,eople FTE,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,6,
National TOMs Framework,Rutland NT5a (2024)                         Global,eople FTE,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,6,
National TOMs Framework,Rutland NT8 (2024)                          Global,taff hours,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,6,
National TOMs Framework,Rutland NT88 (2024)                         Global,e waste gh reuse oducts aterials,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,6,
Northern Ireland Specific Values,"Additional support through the common funding formula to help Global looked-after child achieve in school, per child per year (2017)",r of s,,https://www.education-ni.gov.uk/topics/statistics-and-research,Direct/supporting NI source,6,
Northern Ireland Specific Values,Annual cost of a young person in Global treatment for alcohol misuse (2018),r of e per,,https://www.health-ni.gov.uk/topics/health-policy/health-and-social-care-statistics,Direct/supporting NI source,6,
Northern Ireland Specific Values /app.socialvalueengine.co.uk/proxies - Social Value Engine,Annual cost of young person in Global treatment for drug misuse (2018),"r of e per age 65 of 103 08/2026, 17:30",,https://www.health-ni.gov.uk/topics/health-policy/health-and-social-care-statistics,Direct/supporting NI source,6,
Northern Ireland Specific Values,Annual short-run cost to the public sector of late intervention in Northern      Globa Ireland (2018),er of le per,,https://www.nisra.gov.uk/statistics,Direct/supporting NI source,6,
Northern Ireland Specific Values,Average amount per year by which benefit claimants will be better off after   Globa benefit advice (2019),er of le per,,https://www.nisra.gov.uk/statistics,Direct/supporting NI source,6,
Northern Ireland Specific Values,Average amount spent per week on takeaway food by families in Northern        Globa Ireland (2018),er of le per,,https://www.nisra.gov.uk/statistics,Direct/supporting NI source,6,
Northern Ireland Specific Values,Average annual maintenance costs of Globa peace walls in Northern Ireland,er of s,,https://www.nisra.gov.uk/statistics,Direct/supporting NI source,6,
Northern Ireland Specific Values,Average annual psychological cost for Globa problem drug users (2024),person per,,https://www.health-ni.gov.uk/topics/health-policy/health-and-social-care-statistics,Direct/supporting NI source,6,
Northern Ireland Specific Values,Average annual unit cost of thefts by Globa employees (2024),incident year,,https://www.justice-ni.gov.uk/topics/statistics-and-research,Direct/supporting NI source,6,
Northern Ireland Specific Values,Average award from the Community Relations Council to organisations in        Globa Northern Ireland (2024),council,,https://www.nisra.gov.uk/statistics,Direct/supporting NI source,6,
Northern Ireland Specific Values,Average cost of childcare in Northern Globa Ireland per week (2017),er of s,,https://www.nisra.gov.uk/statistics,Direct/supporting NI source,6,
Northern Ireland Specific Values,Average cost of graffiti                     Globa,m2,,https://www.nisra.gov.uk/statistics,Direct/supporting NI source,6,
Northern Ireland Specific Values,Average cost to a business of a burglary Globa (commercial burglary),burglary,,https://www.justice-ni.gov.uk/topics/statistics-and-research,Direct/supporting NI source,6,
Northern Ireland Specific Values,Average estimated cost of vandalism          Globa,incident,,https://www.justice-ni.gov.uk/topics/statistics-and-research,Direct/supporting NI source,6,
Northern Ireland Specific Values /app.socialvalueengine.co.uk/proxies - Social Value Engine,Average extra costs for a disabled adult Globa (2018),"er of le per h Page 66 of 103 8/2026, 17:30",,https://www.nisra.gov.uk/statistics,Direct/supporting NI source,6,
Northern Ireland Specific Values,Average median gross weekly wage for a full-time employee in Northern Ireland      Global in 2018 (2018),r of e per,,https://www.nisra.gov.uk/statistics,Direct/supporting NI source,6,
Northern Ireland Specific Values,Average median income in Northern Global Ireland before housing costs,r of,,https://www.nihe.gov.uk/about-us/corporate-information/statistics,Direct/supporting NI source,6,
Northern Ireland Specific Values,Average salary of a Customer Care Officer (security guard) employed in a      Global job centre to protect staff (2024),ecurity,,https://www.nisra.gov.uk/statistics,Direct/supporting NI source,6,
Northern Ireland Specific Values,Average wage in Northern Ireland for full time employees in Residential Care          Global Activities,r of e per,,https://www.nisra.gov.uk/statistics,Direct/supporting NI source,6,
Northern Ireland Specific Values,Average wage in Northern Ireland for part time employees in Residential Care     Global Activities,r of e per,,https://www.nisra.gov.uk/statistics,Direct/supporting NI source,6,
Northern Ireland Specific Values,Average weekly spend in Northern Global Ireland (2018),r of e per,,https://www.nisra.gov.uk/statistics,Direct/supporting NI source,6,
Northern Ireland Specific Values,Average weekly spend on alcoholic Global drinks in Northern Ireland (2018),r of e per,,https://www.health-ni.gov.uk/topics/health-policy/health-and-social-care-statistics,Direct/supporting NI source,6,
Northern Ireland Specific Values,Cost of admitting a child as an inpatient to a mental health unit in Northern         Global Ireland (2017),r of ren,,https://www.health-ni.gov.uk/topics/health-policy/health-and-social-care-statistics,Direct/supporting NI source,6,
Northern Ireland Specific Values,Cost of a paramilitary prisoner in Global Northern Ireland (2015),r of e per,,https://prisonreformtrust.org.uk/wp-content/uploads/old_files/Documents/Counting%20the%20Cost.pdf,Existing evidence link,,
Northern Ireland Specific Values,Cost of damage to housing stock due to Global civil unrest (2024),ousehold,,https://www.nihe.gov.uk/about-us/corporate-information/statistics,Direct/supporting NI source,6,
Northern Ireland Specific Values,Cost of delay per passenger hour due to security alerts on the rail network in      Global Northern Ireland (2015),r of ngers our,,https://www.justice-ni.gov.uk/topics/statistics-and-research,Direct/supporting NI source,6,
Northern Ireland Specific Values,Cost of injuries to fire fighters (2024)   Global,cident,,https://www.nisra.gov.uk/statistics,Direct/supporting NI source,6,
Northern Ireland Specific Values,Cost of nursing care per week in Global Northern Ireland (2018),of per,,https://www.health-ni.gov.uk/topics/health-policy/health-and-social-care-statistics,Direct/supporting NI source,6,
Northern Ireland Specific Values,Cost of police service delivery in Global Northern Ireland per capita (2014),of s per,,https://www.nisra.gov.uk/statistics,Direct/supporting NI source,6,
Northern Ireland Specific Values,Cost of vehicle theft                      Global,cident,,https://www.justice-ni.gov.uk/topics/statistics-and-research,Direct/supporting NI source,6,
Northern Ireland Specific Values,Cost per day of mental health Global admission (NI),of,,https://www.health-ni.gov.uk/topics/health-policy/health-and-social-care-statistics,Direct/supporting NI source,6,
Northern Ireland Specific Values,Cost per year resulting from homelessness due to intimidation/civil     Global unrest (2024),rson per,,https://www.nihe.gov.uk/about-us/corporate-information/statistics,Direct/supporting NI source,6,
Northern Ireland Specific Values,Costs associated with a persistently Global absent pupil in Northern Ireland (2018),of,,https://www.education-ni.gov.uk/topics/statistics-and-research,Direct/supporting NI source,6,
Northern Ireland Specific Values,Costs associated with permanently excluding a pupil in Northern Ireland      Global (2018),of,,https://www.education-ni.gov.uk/topics/statistics-and-research,Direct/supporting NI source,6,
Northern Ireland Specific Values,Costs per head of population for mental health prescriptions in Northern Ireland   Global (2016),of iptions,,https://www.health-ni.gov.uk/topics/health-policy/health-and-social-care-statistics,Direct/supporting NI source,6,
Northern Ireland Specific Values,Estimated average cost of threatening behaviour and intimidation to              Global businesses in Northern Ireland (2024),siness,,https://www.nisra.gov.uk/statistics,Direct/supporting NI source,6,
Northern Ireland Specific Values,Estimated average court costs per young offender in the justice system in    Global Northern Ireland (2018),of,,https://www.niauditoffice.gov.uk/publications/managing-children-who-offend,Direct/supporting NI source,6,
Northern Ireland Specific Values /app.socialvalueengine.co.uk/proxies - Social Value Engine,Estimated average policing costs per young offender in the justice system in    Global,"of ge 68 of 103 2026, 17:30",,https://www.niauditoffice.gov.uk/publications/managing-children-who-offend,Direct/supporting NI source,6,
Northern Ireland Specific Values,Estimated costs of youth offending in Global Northern Ireland (2018),of,,https://www.niauditoffice.gov.uk/publications/managing-children-who-offend,Direct/supporting NI source,6,
Northern Ireland Specific Values,Estimated total cost of delays in 2015 due to security alerts on the rail        Global network in Northern Ireland (2015),of,,https://www.justice-ni.gov.uk/topics/statistics-and-research,Direct/supporting NI source,6,
Northern Ireland Specific Values,Estimated total unit costs of domestic Global violence in Northern Ireland (2018),of per,,https://www.nisra.gov.uk/statistics,Direct/supporting NI source,6,
Northern Ireland Specific Values,Estimated unit cost of a reported antisocial behaviour incident in          Global Northern Ireland (2018),of ts,,https://social-value-engine.co.uk/calculator/ASBcost-of-late-intervention-2016_technical-report.pdf,Existing evidence link,,
Northern Ireland Specific Values,Estimated unit costs of domestic violence to civil legal services in       Global Northern Ireland (2018),of ts per,,https://www.justice-ni.gov.uk/topics/statistics-and-research,Direct/supporting NI source,6,
Northern Ireland Specific Values,Estimated unit costs of domestic violence to health in Northern Ireland    Global (2018),of ts per,,https://www.justice-ni.gov.uk/topics/statistics-and-research,Direct/supporting NI source,6,
Northern Ireland Specific Values,Estimated unit costs of domestic violence to housing and refuges in        Global Northern Ireland (2018),of ts per,,https://www.justice-ni.gov.uk/topics/statistics-and-research,Direct/supporting NI source,6,
Northern Ireland Specific Values,Estimated unit costs of domestic violence to social services in Northern   Global Ireland (2018),of ts per,,https://www.justice-ni.gov.uk/topics/statistics-and-research,Direct/supporting NI source,6,
Northern Ireland Specific Values,Estimated unit costs of domestic violence to the Criminal Justice system   Global in Northern Ireland (2018),of ts per,,https://www.justice-ni.gov.uk/topics/statistics-and-research,Direct/supporting NI source,6,
Northern Ireland Specific Values,Expenditure per head for religious and community services per year in            Global Northern Ireland (2015),of per,,https://www.nisra.gov.uk/statistics,Direct/supporting NI source,6,
Northern Ireland Specific Values /app.socialvalueengine.co.uk/proxies - Social Value Engine,Expenditure per post-primary school Global pupil in Northern Ireland (2024),"il e 69 of 103 08/2026, 17:30",,https://www.education-ni.gov.uk/topics/statistics-and-research,Direct/supporting NI source,6,
Northern Ireland Specific Values,Expenditure per primary school pupil in Globa Northern Ireland (2024),pupil,,https://www.education-ni.gov.uk/topics/statistics-and-research,Direct/supporting NI source,6,
Northern Ireland Specific Values,Extra costs per month for families with Globa disabled children (2018),er of le per h,,https://www.nisra.gov.uk/statistics,Direct/supporting NI source,6,
Northern Ireland Specific Values,Gross Value Added per capita in Globa Northern Ireland (2018),er of le per,,https://www.nisra.gov.uk/statistics,Direct/supporting NI source,6,
Northern Ireland Specific Values,Health expenditure per capita in Globa Northern Ireland (2015),er of le per,,https://www.health-ni.gov.uk/topics/health-policy/health-and-social-care-statistics,Direct/supporting NI source,6,
Northern Ireland Specific Values,Home Protection Scheme providing physical security to individuals in public   Globa life in Northern Ireland,er of s,,https://www.nihe.gov.uk/about-us/corporate-information/statistics,Direct/supporting NI source,6,
Northern Ireland Specific Values,Impact of being a carer on wellbeing Globa (NI) (2020),er of le per,,https://www.nisra.gov.uk/statistics,Direct/supporting NI source,6,
Northern Ireland Specific Values,Impact of being unemployed on Globa wellbeing (NI) (2020),er of le per,,https://www.nisra.gov.uk/statistics,Direct/supporting NI source,6,
Northern Ireland Specific Values,Impact of having a long-term debilitating illness on wellbeing (NI)       Globa (2020),er of le per,,https://www.nisra.gov.uk/statistics,Direct/supporting NI source,6,
Northern Ireland Specific Values,Impact of not having any close friends Globa on wellbeing (NI) (2020),er of le per,,https://www.nisra.gov.uk/statistics,Direct/supporting NI source,6,
Northern Ireland Specific Values,Impact of Severe Loneliness on Globa Wellbeing (NI) (2020),er of le per,,https://www.gov.uk/government/publications/loneliness-monetisation-report,Existing evidence link,,
Northern Ireland Specific Values,Increase in public service spend per Globa head between NI and England (2024),£100 d,,https://www.nisra.gov.uk/statistics,Direct/supporting NI source,6,
Northern Ireland Specific Values,Lost output per problem drug user per Global year (2024),rson,,https://www.health-ni.gov.uk/topics/health-policy/health-and-social-care-statistics,Direct/supporting NI source,6,
Northern Ireland Specific Values,Mean average loss to a fraud/scam in Global Northern Ireland (2024),dividual,,https://www.nisra.gov.uk/statistics,Direct/supporting NI source,6,
Northern Ireland Specific Values,Net cost to government in out-of-work benefits for a 16-17 year old NEET in      Global Northern Ireland (2018),of per,,https://www.nisra.gov.uk/statistics,Direct/supporting NI source,6,
Northern Ireland Specific Values,Net cost to government in out-of-work benefits for an 18-24 year old NEET in     Global Northern Ireland (2018),of per,,https://www.nisra.gov.uk/statistics,Direct/supporting NI source,6,
Northern Ireland Specific Values,"Productivity, gross value added per Global employee in Northern Ireland (2016)",of ees,,https://www.nisra.gov.uk/statistics,Direct/supporting NI source,6,
Northern Ireland Specific Values,PSNI estate costs per full time employee Global (2024),ployee,,https://www.nisra.gov.uk/statistics,Direct/supporting NI source,6,
Northern Ireland Specific Values,Public expenditure on agriculture per Global capita in Northern Ireland (2024),rson,,https://www.nisra.gov.uk/statistics,Direct/supporting NI source,6,
Northern Ireland Specific Values,Public spending per person in Northern Global Ireland (2018),of,,https://www.nisra.gov.uk/statistics,Direct/supporting NI source,6,
Northern Ireland Specific Values,Savings on fuel costs as a result of the Affordable Warmth Scheme of energy Global efficiency home installs in Northern Ireland (2018),of lations,,https://www.nihe.gov.uk/about-us/corporate-information/statistics,Direct/supporting NI source,6,
Northern Ireland Specific Values,Sentence Review Commissioners in Northern Ireland to oversee early Global release of prisoners convicted during the period of civil unrest,of,,https://prisonreformtrust.org.uk/wp-content/uploads/old_files/Documents/Counting%20the%20Cost.pdf,Existing evidence link,,
Northern Ireland Specific Values,Spend on Healthcare per head (NI) Global (2015),of per,,https://www.health-ni.gov.uk/topics/health-policy/health-and-social-care-statistics,Direct/supporting NI source,6,
Northern Ireland Specific Values /app.socialvalueengine.co.uk/proxies - Social Value Engine,The average cost of a residential care home in Northern Ireland per resident      Global per week (2019),"of ge 71 of 103 /2026, 17:30",,https://www.nihe.gov.uk/about-us/corporate-information/statistics,Direct/supporting NI source,6,
Northern Ireland Specific Values,The average cost per burglary in Northern Ireland (2024)                    Global,rglary,,https://www.justice-ni.gov.uk/topics/statistics-and-research,Direct/supporting NI source,6,
Northern Ireland Specific Values,"Total cost of hospital admissions due to self-harm in children and young people     Global in Northern Ireland, 2016/17 (2016)",of ions ar,,https://www.health-ni.gov.uk/topics/health-policy/health-and-social-care-statistics,Direct/supporting NI source,6,
Northern Ireland Specific Values,Total HM Treasury expenditure on Northern Ireland per capita of the NI      Global population (2024),rson,,https://www.nisra.gov.uk/statistics,Direct/supporting NI source,6,
Northern Ireland Specific Values,Total identifiable spend per head on recreation and sporting services in        Global Northern Ireland (2014),of per,,https://www.nisra.gov.uk/statistics,Direct/supporting NI source,6,
Northern Ireland Specific Values,Total identifiable spend per head on Recreation and Sporting Services per       Global year in Northern Ireland,rson per,,https://www.nisra.gov.uk/statistics,Direct/supporting NI source,6,
Northern Ireland Specific Values,UK average weekly spend on energy Global (2018),of olds ek,,https://www.nisra.gov.uk/statistics,Direct/supporting NI source,6,
Northern Ireland Specific Values,UK average weekly spend on recreation Global and culture (2018),ek,,https://www.nisra.gov.uk/statistics,Direct/supporting NI source,6,
Northern Ireland Specific Values,UK average weekly spend on transport Global (2018),of per,,https://www.nisra.gov.uk/statistics,Direct/supporting NI source,6,
Northern Ireland Specific Values,"Unit cost for an admitted patient in Alcohol Services, Northern Ireland         Global (2016)",of ions,,https://www.health-ni.gov.uk/topics/health-policy/health-and-social-care-statistics,Direct/supporting NI source,6,
Northern Ireland Specific Values,Unit cost for an outpatient attendance at Alcohol Services in Northern Ireland    Global (2016),of,,https://www.health-ni.gov.uk/topics/health-policy/health-and-social-care-statistics,Direct/supporting NI source,6,
Northern Ireland Specific Values,Unit cost of physical/emotional costs Global per criminal damage incident (2024),cident,,https://www.justice-ni.gov.uk/topics/statistics-and-research,Direct/supporting NI source,6,
Northern Ireland Specific Values,Unit cost of property damage per Globa criminal damage incident (2024),unit,,https://www.justice-ni.gov.uk/topics/statistics-and-research,Direct/supporting NI source,6,
Northern Ireland Specific Values,Value of free school meal entitlement for a post primary pupil in Northern         Globa Ireland (2018),ber of ple per r,,https://www.education-ni.gov.uk/topics/statistics-and-research,Direct/supporting NI source,6,
Northern Ireland Specific Values,Value of free school meal entitlement for a primary pupil in Northern Ireland      Globa (2018),ber of ple per r,,https://www.education-ni.gov.uk/topics/statistics-and-research,Direct/supporting NI source,7,
People enabled to fully participate in their community,Average local authority spend per head Globa (2016),ber of ple per r,,https://www.gov.uk/government/collections/community-life-survey,Direct/supporting UK source,7,
People enabled to fully participate in their community,Feeling of belonging to neighbourhood Globa (2020),ber of ple,,https://www.gov.uk/government/collections/community-life-survey,Direct/supporting UK source,7,
People enabled to fully participate in their community,Feeling of belonging to neighbourhood Globa (Measure Up) (2024),person,,https://measure-up.org/,Existing evidence link,,
People enabled to fully participate in their community,Reaching Communities Grant Average Globa Value (2024),rage grant ue,,https://www.gov.uk/government/collections/community-life-survey,Direct/supporting UK source,7,
People enabled to fully participate in their community,Sense of belonging in Scotland (2024)        Globa,person,,https://www.gov.uk/government/collections/community-life-survey,Direct/supporting UK source,7,
People enabled to fully participate in their community,The annual additional cost of living for a Globa disabled person (2024),person per r,,https://www.gov.uk/government/collections/community-life-survey,Direct/supporting UK source,7,
People enabled to fully participate in their community,Value ascribed to living in a good place Globa (2014),ber of ple per r,,https://www.gov.uk/government/collections/community-life-survey,Direct/supporting UK source,7,
People enabled to fully participate in their community,Value of a Creating a Community Network,Per person,,https://www.gov.uk/government/collections/community-life-survey,Direct/supporting UK source,7,
People enabled to fully participate in their community,Value of a Creating/Building a Community Network,Per £ of Cost of Facilitator Time,,https://www.gov.uk/government/collections/community-life-survey,Direct/supporting UK source,7,
People enabled to fully participate in their community,Value of Community Facilitation,Per £ of Cost of Facilitator Time,,https://www.gov.uk/government/collections/community-life-survey,Direct/supporting UK source,7,
People enabled to fully participate in their community,Value to an individual of being member of a social group (2014),Number of people per year,,https://www.gov.uk/government/collections/community-life-survey,Direct/supporting UK source,7,
People enabled to fully participate in their community,Value to an individual of feeling like they belong in their neighbourhood/community (2014),Number of people per year,,https://www.gov.uk/government/collections/community-life-survey,Direct/supporting UK source,7,
People feeling empowered that they can affect change/decisions in their community,Value of strengthened support networks through regular volunteering,"Per person, per year",,https://www.gov.uk/government/collections/community-life-survey,Direct/supporting UK source,7,
Physical health and care,"Value of good overall health (London, 25-49)",Number of people,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,7,
Physical health and care,"Value of good overall health (London, over 50)",Number of people,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,7,
Physical health and care,under 25),Number of people,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,7,
Physical health and care,"Value of good overall health (outside London, 25-49)",Number of people,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,7,
Physical health and care,"Value of good overall health (outside London, over 50)",Number of people,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,7,
Physical health and care,"Value of good overall health (outside London, under 25)",Number of people,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,7,
Physical health and care,Value of signposting for elderly services,Number of contacts,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,7,
Poverty & Financial Inclusion,Average cost of debt per household,Per household per year,,https://www.citizensadvice.org.uk/about-us/information/all-our-impact/,Direct/supporting UK source,7,
Poverty & Financial Inclusion,Households supported with essential goods,Per household package,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Supporting source family,7,
Preventing discrimination and raising awareness of equal opportunities,Average cost of employment tribunal discrimination award (2016),Number of cases,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Supporting source family,7,
Preventing discrimination and raising awareness of equal opportunities,Cost of equality/disability awareness training (2020),Number of people per year,,https://www.gov.uk/government/publications/employer-skills-survey-2024-uk-report,Direct/supporting UK source,7,
Preventing discrimination and raising awareness of equal opportunities,Fairtrade Premium - Improve quality of lives for local people and businesses      Global (2016),of £ on ade,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Supporting source family,7,
Preventing discrimination and raising awareness of equal opportunities,Unfair dismissal financial settlement Global following a tribunal (2016),of per,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Supporting source family,7,
Preventing discrimination and raising awareness of equal opportunities,Unit cost of modern day slavery (2018)     Global,of sations,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Supporting source family,7,
Progress towards a housing unit,Value of Making Progress on the Global Delivery of Rural Housing,use,,https://www.gov.uk/government/collections/english-housing-survey,Direct/supporting UK source,7,
"Project evaluation - the value of evaluating another project, mostly likely a community project",Cost of evaluating a project (2024)        Global,aluation,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Supporting source family,7,
Reduced carbon footprint,Annual savings through travelling by bus Global rather than by car (2020),of olds ar,,https://www.gov.uk/government/publications/valuing-greenhouse-gas-emissions-in-policy-appraisal/valuation-of-greenhouse-gas-emissions-for-policy-appraisal-and-evaluation,Direct/supporting UK source,7,
Reduced carbon footprint,Average savings made driving a Ultra Global Low Emission Vehicle (2021),le,,https://www.gov.uk/government/publications/valuing-greenhouse-gas-emissions-in-policy-appraisal/valuation-of-greenhouse-gas-emissions-for-policy-appraisal-and-evaluation,Direct/supporting UK source,7,
Reduced carbon footprint,CO2 savings from repurposing old building (reducing embodied carbon         Global emissions) (2018),of of CO2,,https://www.gov.uk/government/publications/valuing-greenhouse-gas-emissions-in-policy-appraisal/valuation-of-greenhouse-gas-emissions-for-policy-appraisal-and-evaluation,Direct/supporting UK source,7,
Reduced carbon footprint,Cost of offsetting CO2 for travel miles Global (2021),of per,,https://www.gov.uk/government/publications/valuing-greenhouse-gas-emissions-in-policy-appraisal/valuation-of-greenhouse-gas-emissions-for-policy-appraisal-and-evaluation,Direct/supporting UK source,7,
Reduced carbon footprint,Cost per tonne of CO2 (2018)               Global,of of CO2,,https://www.gov.uk/government/publications/valuing-greenhouse-gas-emissions-in-policy-appraisal/valuation-of-greenhouse-gas-emissions-for-policy-appraisal-and-evaluation,Existing evidence link,,
Reduced carbon footprint,Difference between car and bicycle        Global mileage rates (2017),of,,https://www.gov.uk/government/publications/valuing-greenhouse-gas-emissions-in-policy-appraisal/valuation-of-greenhouse-gas-emissions-for-policy-appraisal-and-evaluation,Direct/supporting UK source,7,
Reduced carbon footprint,Global median social cost of carbon per Global tonne (2018),of of CO2,,https://www.gov.uk/government/publications/valuing-greenhouse-gas-emissions-in-policy-appraisal/valuation-of-greenhouse-gas-emissions-for-policy-appraisal-and-evaluation,Existing evidence link,,
Reduced carbon footprint,GMCA Ammonia (NH3) - Air Quality Global Damage Costs (2024),ne,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Reduced carbon footprint,"GMCA Average annual electricity consumption per UK household - value Global of energy used, carbon emissions and air quality damage costs (2024)",sehold,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Reduced carbon footprint,GMCA Carbon reduction value of restoring eroded peatland (low value)     Global (2024),tare nd),,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Reduced carbon footprint,GMCA Cavity Wall Insulation (CWI) - cost per m² including materials and       Global labour (2024),re²,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Reduced carbon footprint,GMCA Construction Materials - average carbon emissions per tonne of usage       Global (primary production) (2024),ne,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Reduced carbon footprint,GMCA Diesel Engine Road Vehicle (DERV) - Long Run Variable Cost (LRVC)    Global (2024),,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Reduced carbon footprint,GMCA Double Glazing - cost per m² Global including materials and labour (2024),re²,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Reduced carbon footprint,GMCA Dual Fuel smart meter installation Global cost (2024),perty,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
