Table 1
Category,Proxy,Unit,£ Value,Evidence,Evidence Match,Evidence Note,Source Status,
SCC System Level,"Improved Confidence - young people (Tackling Health Inequalities: Mental and emotional wellness incl. early help, supporting parents, reducing isolation)",Per Person,26000,https://www.stateoflife.org/wellby,,,Original evidence link,
SCC - System Level,"Improved Confidence - Adult (Tackling Health Inequalities: Mental and emotional wellness incl. early help, supporting parents, reducing isolation)",Per Person,15300,https://measure-up.org/values/,,,Original evidence link,
SCC - System Level,Reduction in Local Anti-Social Behaviour (Tackling Health Inequalities: Reaching potential incl wider determinants and community-led action),Per incident,1628,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,,,Original evidence link,
SCC - System level,"Cost of Nurse, GP practice - (excluding qualification costs) (Tackling Health Inequalities: Physically Healthy incl. living independently)",Per hour,43,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,,,Original evidence link,
SCC - System level,Ambulance Callout (Tackling Health Inequalities: Physically Healthy incl. living independently),Per Call Out,334,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,,,Original evidence link,
SCC - System level,Cost of a GP Consultation (Tackling Health Inequalities: Physically healthy incl. living independently),Per Consultation,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,,,Original evidence link,
SCC - System level,Being active in a social group (Tackling Health Inequalities: Reaching potential incl wider determinants and community led action),Per Person,,https://www.gov.uk/government/statistics/community-life-survey-202425-annual-publication,Direct outcome evidence,"DCMS Community Life Survey measures community cohesion, belonging, volunteering and people from different backgrounds getting on well together.",UK source researched,
SCC System Level,Cost of Allied Health Professional (Tackling Health Inequalities: Physically Healthy incl. living independently),Per hour,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,,,Original evidence link,
SCC - System level,A&E Attendance (Tackling Health Inequalities: Physically Healthy incl. living independently),Per Attendance,86,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct cost source,NHS England National Cost Collection is the authoritative current source for average unit costs of NHS services including emergency care.,UK source researched,
SCC - System Level (Optional),"Costs incurred by statutory services (NHS, social services) and voluntary organisations for services needed as a direct result of imprisonment",Per Prisoner,49858,https://www.gov.uk/government/publications/prison-performance-data-2024-to-2025,Direct current benchmark,Ministry of Justice publishes annual cost per prisoner and cost per prison place for England and Wales.,UK source researched,
SCC - System Level (Optional),Unit cost of a young offender in the Youth Justice System,Per person,4151,https://www.gov.uk/government/statistics/first-time-entrants-fte-and-offender-histories-2025,Supporting,"Ministry of Justice publishes current first-time entrant and offending-history statistics; the historic £4,151 unit-cost figure should be treated as a legacy proxy unless separately revalidated.",UK source researched,
SCC - System Level (Optional),Saving from home treatment alongside inpatient care in integrated care pathway,Per admission saved,3030,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,,,Original evidence link,
SCC - System Level,Average cost for provision for those with MH disorders incl dementia/all ages,Per Person per year,30700,https://measure-up.org/values/,,,Original evidence link,
